version,specification,Task,failed_categories,passed_categories,anon_id
G1A,G1,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'IV', 'IV', 'CO', 'IV', 'IV', 'IV', 'EC', 'CO', 'AI', 'EC', 'AI', 'AI']","['EC', 'EC', 'EC', 'CO', 'TB', 'EC', 'AI', 'AI', 'AI', 'AI']",S0001
G1A,G1,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'IV', 'IV', 'CO', 'IV', 'IV', 'EC', 'CO', 'EC', 'AI', 'AI']","['EC', 'EC', 'EC', 'CO', 'TB', 'IV', 'EC', 'AI', 'AI', 'AI', 'AI', 'AI']",S0002
G1A,G1,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'IV', 'CO', 'IV', 'CO', 'IV', 'IV', 'IV', 'EC', 'CO', 'AI', 'AI', 'AI']","['EC', 'EC', 'EC', 'TB', 'EC', 'AI', 'AI', 'EC', 'AI', 'AI']",S0003
G1A,G1,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'EC', 'IV', 'CO', 'IV', 'CO', 'TB', 'IV', 'IV', 'IV', 'EC', 'CO', 'AI', 'AI', 'AI', 'EC', 'AI', 'AI']","['EC', 'EC', 'EC', 'AI', 'AI']",S0004
G1A,G1,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'IV', 'IV', 'CO', 'IV', 'IV', 'EC', 'CO', 'AI', 'AI']","['EC', 'EC', 'EC', 'CO', 'TB', 'IV', 'EC', 'AI', 'AI', 'AI', 'EC', 'AI', 'AI']",S0005
G1A,G1,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'IV', 'IV', 'CO', 'IV', 'IV', 'EC', 'CO', 'EC', 'AI', 'AI']","['EC', 'EC', 'EC', 'CO', 'TB', 'IV', 'EC', 'AI', 'AI', 'AI', 'AI', 'AI']",S0006
G1A,G1,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'IV', 'IV', 'CO', 'IV', 'IV', 'IV', 'EC', 'CO', 'AI', 'EC', 'AI', 'AI']","['EC', 'EC', 'EC', 'CO', 'TB', 'EC', 'AI', 'AI', 'AI', 'AI']",S0007
G1A,G1,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'IV', 'IV', 'CO', 'IV', 'IV', 'EC', 'CO', 'AI', 'AI']","['EC', 'EC', 'EC', 'CO', 'TB', 'IV', 'EC', 'AI', 'AI', 'AI', 'EC', 'AI', 'AI']",S0008
G1A,G1,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'IV', 'IV', 'CO', 'IV', 'IV', 'IV', 'EC', 'CO', 'AI', 'EC', 'AI', 'AI']","['EC', 'EC', 'EC', 'CO', 'TB', 'EC', 'AI', 'AI', 'AI', 'AI']",S0009
G1A,G1,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'IV', 'CO', 'IV', 'CO', 'IV', 'IV', 'IV', 'EC', 'CO', 'AI', 'AI', 'AI']","['EC', 'EC', 'EC', 'TB', 'EC', 'AI', 'AI', 'EC', 'AI', 'AI']",S0010
G1A,G1,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'IV', 'IV', 'CO', 'IV', 'IV', 'IV', 'EC', 'CO', 'AI', 'AI', 'AI']","['EC', 'EC', 'EC', 'CO', 'TB', 'EC', 'AI', 'AI', 'EC', 'AI', 'AI']",S0011
G1A,G1,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'IV', 'IV', 'CO', 'IV', 'IV', 'EC', 'CO', 'EC', 'AI', 'AI']","['EC', 'EC', 'EC', 'CO', 'TB', 'IV', 'EC', 'AI', 'AI', 'AI', 'AI', 'AI']",S0012
G1B,G1,B,"['CO', 'CO', 'CO', 'CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'EC', 'EC', 'IV', 'EC', 'CO', 'CO', 'CO']","['AI', 'AI', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO', 'CO', 'CO', 'EC', 'AI', 'EC', 'EC']",S0013
G1B,G1,B,"['CO', 'CO', 'CO', 'CO', 'AI', 'IV', 'IV', 'CO', 'CO', 'EC', 'EC', 'IV', 'EC', 'EC', 'AI', 'CO', 'CO', 'EC', 'EC', 'CO']","['AI', 'CO', 'AI', 'AI', 'AI', 'AI', 'IV', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO']",S0014
G1B,G1,B,"['CO', 'CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'CO', 'AI', 'AI', 'EC', 'IV', 'CO', 'EC', 'CO', 'CO', 'CO']","['CO', 'CO', 'AI', 'CO', 'CO', 'CO', 'EC', 'CO', 'EC', 'AI', 'EC', 'EC']",S0015
G1B,G1,B,"['CO', 'CO', 'CO', 'CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'EC', 'EC', 'IV', 'EC', 'CO', 'CO', 'CO']","['AI', 'AI', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO', 'CO', 'CO', 'EC', 'AI', 'EC', 'EC']",S0016
G1B,G1,B,"['CO', 'CO', 'CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'CO', 'AI', 'AI', 'EC', 'IV', 'CO', 'CO', 'EC', 'CO', 'CO', 'CO']","['CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'AI', 'EC', 'EC']",S0017
G1B,G1,B,"['AI', 'CO', 'AI', 'AI', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'CO', 'CO', 'AI', 'AI', 'EC', 'IV', 'CO', 'CO', 'EC', 'CO', 'CO']","['CO', 'CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'AI', 'CO', 'EC', 'EC']",S0018
G1B,G1,B,"['CO', 'CO', 'CO', 'CO', 'CO', 'AI', 'AI', 'AI', 'IV', 'IV', 'EC', 'EC', 'IV', 'EC', 'CO', 'CO', 'CO']","['AI', 'AI', 'AI', 'IV', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO', 'CO', 'CO', 'EC', 'AI', 'EC', 'EC']",S0019
G1B,G1,B,"['CO', 'CO', 'CO', 'CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'CO', 'AI', 'AI', 'EC', 'IV', 'CO', 'EC', 'CO']","['AI', 'CO', 'CO', 'CO', 'EC', 'CO', 'EC', 'AI', 'CO', 'EC', 'EC', 'CO']",S0020
G1B,G1,B,"['CO', 'CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'CO', 'CO', 'AI', 'AI', 'EC', 'IV', 'CO', 'CO', 'EC', 'CO', 'CO', 'CO']","['CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'AI', 'EC', 'EC']",S0021
G1B,G1,B,"['CO', 'CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'CO', 'CO', 'AI', 'AI', 'EC', 'IV', 'CO', 'CO', 'EC', 'CO', 'CO', 'CO']","['CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'AI', 'EC', 'EC']",S0022
G1B,G1,B,"['CO', 'CO', 'CO', 'CO', 'CO', 'AI', 'AI', 'AI', 'IV', 'IV', 'EC', 'EC', 'IV', 'EC', 'CO', 'CO', 'CO']","['AI', 'AI', 'AI', 'IV', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO', 'CO', 'CO', 'EC', 'AI', 'EC', 'EC']",S0023
G1B,G1,B,"['CO', 'CO', 'CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'CO', 'AI', 'AI', 'EC', 'IV', 'CO', 'EC', 'CO', 'CO', 'CO']","['CO', 'AI', 'CO', 'CO', 'CO', 'EC', 'CO', 'EC', 'AI', 'EC', 'EC']",S0024
G2B,G2,B,"['CO', 'CO', 'CO', 'CO', 'CO', 'AI', 'AI', 'AI', 'IV', 'IV', 'EC', 'EC', 'IV', 'EC', 'EC', 'CO', 'CO', 'CO']","['AI', 'AI', 'AI', 'IV', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO', 'CO', 'CO', 'AI', 'EC', 'EC']",S0025
G2B,G2,B,"['CO', 'CO', 'CO', 'CO', 'CO', 'AI', 'AI', 'AI', 'IV', 'IV', 'EC', 'EC', 'IV', 'EC', 'CO', 'CO', 'CO']","['AI', 'AI', 'AI', 'IV', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO', 'CO', 'CO', 'EC', 'AI', 'EC', 'EC']",S0026
